Date,España,Italia,Turquia
2020-04-28 00:00:00+00:00,210773.0,201505.0,114653
2020-04-29 00:00:00+00:00,212917.0,203591.0,117589
2020-04-30 00:00:00+00:00,213435.0,205463.0,120204
2020-05-01 00:00:00+00:00,215216.0,207428.0,122392
2020-05-02 00:00:00+00:00,216582.0,209328.0,124375
2020-05-03 00:00:00+00:00,217466.0,210717.0,126045
2020-05-04 00:00:00+00:00,218011.0,211938.0,127659
2020-05-05 00:00:00+00:00,219329.0,213013.0,129491
2020-05-06 00:00:00+00:00,220325.0,214457.0,131744
2020-05-07 00:00:00+00:00,221447.0,215858.0,133721
2020-05-08 00:00:00+00:00,222857.0,217185.0,135569
2020-05-09 00:00:00+00:00,223578.0,218268.0,137115
2020-05-10 00:00:00+00:00,224350.0,219070.0,138657
2020-05-11 00:00:00+00:00,227436.0,219814.0,139771
2020-05-12 00:00:00+00:00,228030.0,221216.0,141475
2020-05-13 00:00:00+00:00,228691.0,222104.0,143114
2020-05-14 00:00:00+00:00,229540.0,223096.0,144749
2020-05-15 00:00:00+00:00,230183.0,223885.0,146457
2020-05-16 00:00:00+00:00,230698.0,224760.0,148067
2020-05-17 00:00:00+00:00,230698.0,225435.0,149435
2020-05-18 00:00:00+00:00,231606.0,225886.0,150593
2020-05-19 00:00:00+00:00,232037.0,226699.0,151615
2020-05-20 00:00:00+00:00,232555.0,227364.0,152587
2020-05-21 00:00:00+00:00,233037.0,228006.0,153548
2020-05-22 00:00:00+00:00,234824.0,228658.0,154500
2020-05-23 00:00:00+00:00,235290.0,229327.0,155686
2020-05-24 00:00:00+00:00,235772.0,229858.0,156827
2020-05-25 00:00:00+00:00,235400.0,230158.0,157814
2020-05-26 00:00:00+00:00,236259.0,230555.0,158762
2020-05-27 00:00:00+00:00,236259.0,231139.0,159797
2020-05-28 00:00:00+00:00,237906.0,231732.0,160979
2020-05-29 00:00:00+00:00,238564.0,232248.0,162120
2020-05-30 00:00:00+00:00,239228.0,232664.0,163103
2020-05-31 00:00:00+00:00,239479.0,232997.0,163942
2020-06-01 00:00:00+00:00,239638.0,233197.0,164769
2020-06-02 00:00:00+00:00,239932.0,233515.0,165555
2020-06-03 00:00:00+00:00,240326.0,233836.0,166422
2020-06-04 00:00:00+00:00,240660.0,234013.0,167410
2020-06-05 00:00:00+00:00,240978.0,234531.0,168340
2020-06-06 00:00:00+00:00,241310.0,234801.0,169218
2020-06-07 00:00:00+00:00,241550.0,234998.0,170132
2020-06-08 00:00:00+00:00,241717.0,235278.0,171121
2020-06-09 00:00:00+00:00,241966.0,235561.0,172114
2020-06-10 00:00:00+00:00,242280.0,235763.0,173036
2020-06-11 00:00:00+00:00,242707.0,236142.0,174023
2020-06-12 00:00:00+00:00,243209.0,236305.0,175218
2020-06-13 00:00:00+00:00,243605.0,236651.0,176677
2020-06-14 00:00:00+00:00,243928.0,236989.0,178239
2020-06-15 00:00:00+00:00,244109.0,237290.0,179831
2020-06-16 00:00:00+00:00,244328.0,237500.0,181298
2020-06-17 00:00:00+00:00,244683.0,237828.0,182727
2020-06-18 00:00:00+00:00,245268.0,238159.0,184031
2020-06-19 00:00:00+00:00,245575.0,238011.0,185245
